Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN360050000000003,LAUCN360050000000004,LAUCN360050000000005,LAUCN360050000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Bronx County, NY",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,New York,,,,
Years:,2000 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2012,Jul,599476,520583,78893,13.2
2012,Aug,594597,519754,74843,12.6
2012,Sep,593712,523736,69976,11.8
2012,Oct,598557,526387,72170,12.1
2012,Nov,592346,524616,67730,11.4
2012,Dec,595870,525041,70829,11.9
2013,Jan,603397,524815,78582,13.0
2013,Feb,603646,528131,75515,12.5
2013,Mar,599729,529620,70109,11.7
2013,Apr,596576,531418,65158,10.9
2013,May,599693,531284,68409,11.4
2013,Jun,603708,530453,73255,12.1
2013,Jul,609822,535038,74784,12.3
2013,Aug,606694,533200,73494,12.1
2013,Sep,605336,534963,70373,11.6
2013,Oct,606832,534865,71967,11.9
2013,Nov,604578,537410,67168,11.1
2013,Dec,601525,537938,63587,10.6
2014,Jan,602704,535250,67454,11.2
2014,Feb,609517,540065,69452,11.4
2014,Mar,608961,542104,66857,11.0
2014,Apr,598953,542015,56938,9.5
2014,May,600389,542243,58146,9.7
2014,Jun,600921,542868,58053,9.7
2014,Jul,607969,546222,61747,10.2
2014,Aug,604162,545097,59065,9.8
2014,Sep,599682,547003,52679,8.8
2014,Oct,604992,551301,53691,8.9
2014,Nov,604619,550168,54451,9.0
2014,Dec,601039,550079,50960,8.5
2015,Jan,609152,552126,57026,9.4
2015,Feb,611582,556659,54923,9.0
2015,Mar,607172,557358,49814,8.2
2015,Apr,604112,557724,46388,7.7
2015,May,605092,557561,47531,7.9
2015,Jun,603016,557337,45679,7.6
2015,Jul,607711,559958,47753,7.9
2015,Aug,602877,558067,44810,7.4
2015,Sep,598747,557979,40768,6.8
2015,Oct,604543,561222,43321,7.2
2015,Nov,603695,559863,43832,7.3
2015,Dec,603844,561049,42795,7.1
2016,Jan,607622,560916,46706,7.7
2016,Feb,612477,566158,46319,7.6
2016,Mar,612121,566912,45209,7.4
2016,Apr,605324,564490,40834,6.7
2016,May,601036,562399,38637,6.4
2016,Jun,605186,562286,42900,7.1
2016,Jul,612759,565674,47085,7.7
2016,Aug,610387,563620,46767,7.7
2016,Sep,608312,564045,44267,7.3
2016,Oct,608865,564660,44205,7.3
2016,Nov,602577,563300,39277,6.5
2016,Dec,600872,563122,37750,6.3
2017,Jan,606027,563634,42393,7.0
2017,Feb,610573,568765,41808,6.8
2017,Mar,608287,570616,37671,6.2
2017,Apr,604166,569046,35120,5.8
2017,May,602369,566309,36060,6.0
2017,Jun,604248,566497,37751,6.2
2017,Jul,612080,569680,42400,6.9
2017,Aug,608602,565954,42648,7.0
2017,Sep,606106,568520,37586,6.2
2017,Oct,603860,567526,36334,6.0
2017,Nov,600576,565490,35086,5.8
2017,Dec,598998,564754,34244,5.7
2018,Jan,601054,561927,39127,6.5
2018,Feb,608217,568694,39523,6.5
2018,Mar,605104,568498,36606,6.0
2018,Apr,597728,565515,32213,5.4
2018,May,594634,564324,30310,5.1
2018,Jun,598895,564432,34463,5.8
2018,Jul,603682,566851,36831,6.1
2018,Aug,597634,561464,36170,6.1
2018,Sep,595008,563690,31318,5.3
2018,Oct,599490,566851,32639,5.4
2018,Nov,597720,566026,31694,5.3
2018,Dec,599979,566103,33876,5.6
2019,Jan,604149,563497,40652,6.7
2019,Feb,606265,568856,37409,6.2
2019,Mar,602784,568115,34669,5.8
2019,Apr,595453,565719,29734,5.0
2019,May,593792,563604,30188,5.1
2019,Jun,594675,563955,30720,5.2
2019,Jul,600775,565794,34981,5.8
2019,Aug,597863,563669,34194,5.7
2019,Sep,595001,566480,28521,4.8
2019,Oct,597792,567740,30052,5.0
2019,Nov,592846,565253,27593,4.7
2019,Dec,590723,565019,25704,4.4
2020,Jan,591286,562402,28884,4.9
2020,Feb,597969,570240,27729,4.6
2020,Mar,585223,551647,33576,5.7
