Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN060370000000003,LAUCN060370000000004,LAUCN060370000000005,LAUCN060370000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Los Angeles County, CA",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,California,,,,
Years:,2000 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2011,May,4905959,4327543,578416,11.8
2011,Jun,4904708,4295492,609216,12.4
2011,Jul,4942543,4299999,642544,13.0
2011,Aug,4937683,4306761,630922,12.8
2011,Sep,4945607,4333407,612200,12.4
2011,Oct,4937431,4345256,592175,12.0
2011,Nov,4931288,4359186,572102,11.6
2011,Dec,4926242,4358346,567896,11.5
2012,Jan,4884029,4302091,581938,11.9
2012,Feb,4910820,4343450,567370,11.6
2012,Mar,4898617,4351377,547240,11.2
2012,Apr,4884606,4369481,515125,10.5
2012,May,4896744,4371590,525154,10.7
2012,Jun,4898247,4353264,544983,11.1
2012,Jul,4941481,4358715,582766,11.8
2012,Aug,4912651,4361214,551437,11.2
2012,Sep,4923560,4409225,514335,10.4
2012,Oct,4941705,4429177,512528,10.4
2012,Nov,4940794,4443488,497306,10.1
2012,Dec,4949906,4447634,502272,10.1
2013,Jan,4935055,4396816,538239,10.9
2013,Feb,4947663,4442223,505440,10.2
2013,Mar,4927944,4446010,481934,9.8
2013,Apr,4939481,4475104,464377,9.4
2013,May,4955015,4480405,474610,9.6
2013,Jun,4974208,4468116,506092,10.2
2013,Jul,5012445,4484173,528272,10.5
2013,Aug,4986906,4489068,497838,10.0
2013,Sep,4997044,4521017,476027,9.5
2013,Oct,4971241,4503424,467817,9.4
2013,Nov,4988910,4542064,446846,9.0
2013,Dec,4970098,4542712,427386,8.6
2014,Jan,4953454,4505920,447534,9.0
2014,Feb,4979649,4540965,438684,8.8
2014,Mar,4996162,4565737,430425,8.6
2014,Apr,4960772,4573049,387723,7.8
2014,May,4972542,4570567,401975,8.1
2014,Jun,4974222,4562884,411338,8.3
2014,Jul,5018531,4564730,453801,9.0
2014,Aug,5012350,4578633,433717,8.7
2014,Sep,5013479,4609157,404322,8.1
2014,Oct,5021868,4629293,392575,7.8
2014,Nov,5020772,4634745,386027,7.7
2014,Dec,4987323,4627852,359471,7.2
2015,Jan,4977294,4591031,386263,7.8
2015,Feb,4997686,4632551,365135,7.3
2015,Mar,4988178,4639657,348521,7.0
2015,Apr,4992299,4661905,330394,6.6
2015,May,5002229,4662833,339396,6.8
2015,Jun,4971608,4632710,338898,6.8
2015,Jul,4993336,4634826,358510,7.2
2015,Aug,4961510,4632319,329191,6.6
2015,Sep,4959227,4652085,307142,6.2
2015,Oct,4968442,4673872,294570,5.9
2015,Nov,4981085,4696630,284455,5.7
2015,Dec,4970990,4698448,272542,5.5
2016,Jan,4971906,4690993,280913,5.7
2016,Feb,5015079,4745812,269267,5.4
2016,Mar,5023943,4760196,263747,5.2
2016,Apr,5028245,4777420,250825,5.0
2016,May,5019583,4777049,242534,4.8
2016,Jun,5011949,4742275,269674,5.4
2016,Jul,5056496,4761059,295437,5.8
2016,Aug,5040367,4756574,283793,5.6
2016,Sep,5060559,4787194,273365,5.4
2016,Oct,5048070,4785505,262565,5.2
2016,Nov,5054556,4809974,244582,4.8
2016,Dec,5035345,4796740,238605,4.7
2017,Jan,5034236,4774225,260011,5.2
2017,Feb,5078855,4827824,251031,4.9
2017,Mar,5086388,4849382,237006,4.7
2017,Apr,5084700,4859240,225460,4.4
2017,May,5066221,4841315,224906,4.4
2017,Jun,5066614,4820939,245675,4.8
2017,Jul,5110616,4836555,274061,5.4
2017,Aug,5088064,4820966,267098,5.2
2017,Sep,5127253,4882674,244579,4.8
2017,Oct,5090141,4860638,229503,4.5
2017,Nov,5101721,4874621,227100,4.5
2017,Dec,5073358,4853983,219375,4.3
2018,Jan,5068103,4821888,246215,4.9
2018,Feb,5115888,4877676,238212,4.7
2018,Mar,5108050,4880660,227390,4.5
2018,Apr,5093380,4877027,216353,4.2
2018,May,5076788,4864973,211815,4.2
2018,Jun,5082055,4838871,243184,4.8
2018,Jul,5112909,4850139,262770,5.1
2018,Aug,5066022,4814660,251362,5.0
2018,Sep,5099011,4862806,236205,4.6
2018,Oct,5102341,4869087,233254,4.6
2018,Nov,5116210,4890159,226051,4.4
2018,Dec,5105297,4875767,229530,4.5
2019,Jan,5094153,4837140,257013,5.0
2019,Feb,5129311,4895412,233899,4.6
2019,Mar,5116385,4886823,229562,4.5
2019,Apr,5077081,4871199,205882,4.1
2019,May,5074586,4866672,207914,4.1
2019,Jun,5079145,4851414,227731,4.5
2019,Jul,5130244,4874249,255995,5.0
2019,Aug,5112508,4868200,244308,4.8
2019,Sep,5152447,4929776,222671,4.3
2019,Oct,5157853,4936189,221664,4.3
2019,Nov,5177117,4963388,213729,4.1
2019,Dec,5158181,4951091,207090,4.0
2020,Jan,5189152,4956929,232223,4.5
2020,Feb,5222823,4984604,238219,4.6
2020,Mar,5004446,4683898,320548,6.4
