Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCT064400000000003,LAUCT064400000000004,LAUCT064400000000005,LAUCT064400000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Los Angeles city, CA",,,,
Area Type:,"Cities and towns above 25,000 population",,,,
State/Region/Division:,California,,,,
Years:,2000 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2009,Nov,1917721,1665768,251953,13.1
2009,Dec,1906061,1656733,249328,13.1
2010,Jan,1954939,1691864,263075,13.5
2010,Feb,1960130,1703236,256894,13.1
2010,Mar,1960292,1705075,255217,13.0
2010,Apr,1969264,1719205,250059,12.7
2010,May,1960429,1712399,248030,12.7
2010,Jun,1955646,1702467,253179,12.9
2010,Jul,1981199,1705743,275456,13.9
2010,Aug,1981594,1708787,272807,13.8
2010,Sep,1978561,1715887,262674,13.3
2010,Oct,1975299,1716276,259023,13.1
2010,Nov,1983472,1717526,265946,13.4
2010,Dec,1978933,1721100,257833,13.0
2011,Jan,1974207,1709320,264887,13.4
2011,Feb,1979415,1723088,256327,12.9
2011,Mar,1976732,1726451,250281,12.7
2011,Apr,1969880,1725684,244196,12.4
2011,May,1965928,1721243,244685,12.4
2011,Jun,1966209,1708495,257714,13.1
2011,Jul,1982101,1710288,271813,13.7
2011,Aug,1979873,1712977,266896,13.5
2011,Sep,1982552,1723576,258976,13.1
2011,Oct,1978793,1728288,250505,12.7
2011,Nov,1975843,1733829,242014,12.2
2011,Dec,1973730,1733495,240235,12.2
2012,Jan,1960176,1713639,246537,12.6
2012,Feb,1970478,1730113,240365,12.2
2012,Mar,1965107,1733270,231837,11.8
2012,Apr,1958714,1740482,218232,11.1
2012,May,1963802,1741322,222480,11.3
2012,Jun,1964903,1734022,230881,11.8
2012,Jul,1983081,1736193,246888,12.4
2012,Aug,1970804,1737189,233615,11.9
2012,Sep,1974210,1756313,217897,11.0
2012,Oct,1981391,1764260,217131,11.0
2012,Nov,1980644,1769961,210683,10.6
2012,Dec,1984399,1771612,212787,10.7
2013,Jan,1982565,1754176,228389,11.5
2013,Feb,1986764,1772292,214472,10.8
2013,Mar,1978300,1773803,204497,10.3
2013,Apr,1982458,1785410,197048,9.9
2013,May,1988915,1787525,201390,10.1
2013,Jun,1997370,1782622,214748,10.8
2013,Jul,2013188,1789028,224160,11.1
2013,Aug,2002227,1790981,211246,10.6
2013,Sep,2005719,1803728,201991,10.1
2013,Oct,1995216,1796709,198507,9.9
2013,Nov,2001734,1812125,189609,9.5
2013,Dec,1993734,1812383,181351,9.1
2014,Jan,1990605,1800418,190187,9.6
2014,Feb,2000847,1814421,186426,9.3
2014,Mar,2007236,1824319,182917,9.1
2014,Apr,1992010,1827240,164770,8.3
2014,May,1997075,1826249,170826,8.6
2014,Jun,1997984,1823179,174805,8.7
2014,Jul,2016767,1823916,192851,9.6
2014,Aug,2013788,1829472,184316,9.2
2014,Sep,2013492,1841668,171824,8.5
2014,Oct,2016546,1849714,166832,8.3
2014,Nov,2015941,1851892,164049,8.1
2014,Dec,2001901,1849138,152763,7.6
2015,Jan,2009812,1844740,165072,8.2
2015,Feb,2017466,1861423,156043,7.7
2015,Mar,2013221,1864278,148943,7.4
2015,Apr,2014414,1873218,141196,7.0
2015,May,2018634,1873591,145043,7.2
2015,Jun,2006317,1861487,144830,7.2
2015,Jul,2015548,1862337,153211,7.6
2015,Aug,2002012,1861330,140682,7.0
2015,Sep,2000531,1869272,131259,6.6
2015,Oct,2003913,1878027,125886,6.3
2015,Nov,2008735,1887171,121564,6.1
2015,Dec,2004373,1887901,116472,5.8
2016,Jan,2006171,1893039,113132,5.6
2016,Feb,2023413,1915161,108252,5.3
2016,Mar,2027026,1920966,106060,5.2
2016,Apr,2028515,1927917,100598,5.0
2016,May,2026692,1927767,98925,4.9
2016,Jun,2023302,1913734,109568,5.4
2016,Jul,2041296,1921314,119982,5.9
2016,Aug,2034391,1919504,114887,5.6
2016,Sep,2042303,1931861,110442,5.4
2016,Oct,2037032,1931179,105853,5.2
2016,Nov,2039656,1941054,98602,4.8
2016,Dec,2031791,1935713,96078,4.7
2017,Jan,2038605,1933103,105502,5.2
2017,Feb,2057033,1954805,102228,5.0
2017,Mar,2060235,1963534,96701,4.7
2017,Apr,2060358,1967526,92832,4.5
2017,May,2053152,1960268,92884,4.5
2017,Jun,2052887,1952018,100869,4.9
2017,Jul,2070250,1958341,111909,5.4
2017,Aug,2060430,1952029,108401,5.3
2017,Sep,2075849,1977014,98835,4.8
2017,Oct,2060818,1968092,92726,4.5
2017,Nov,2065228,1973754,91474,4.4
2017,Dec,2054136,1965397,88739,4.3
2018,Jan,2059341,1959038,100303,4.9
2018,Feb,2078292,1981704,96588,4.6
2018,Mar,2075598,1982916,92682,4.5
2018,Apr,2069907,1981440,88467,4.3
2018,May,2063753,1976543,87210,4.2
2018,Jun,2065787,1965938,99849,4.8
2018,Jul,2078177,1970516,107661,5.2
2018,Aug,2058197,1956102,102095,5.0
2018,Sep,2071642,1975662,95980,4.6
2018,Oct,2072782,1978214,94568,4.6
2018,Nov,2078362,1986775,91587,4.4
2018,Dec,2073954,1980928,93026,4.5
2019,Jan,2070201,1965235,104966,5.1
2019,Feb,2083963,1988910,95053,4.6
2019,Mar,2079252,1985420,93832,4.5
2019,Apr,2063600,1979072,84528,4.1
2019,May,2063227,1977233,85994,4.2
2019,Jun,2064721,1971034,93687,4.5
2019,Jul,2085540,1980311,105229,5.0
2019,Aug,2077504,1977854,99650,4.8
2019,Sep,2093504,2002871,90633,4.3
2019,Oct,2095412,2005476,89936,4.3
2019,Nov,2103086,2016527,86559,4.1
2019,Dec,2095690,2011531,84159,4.0
2020,Jan,2108364,2013903,94461,4.5
2020,Feb,2122254,2025147,97107,4.6
2020,Mar,2033957,1902976,130981,6.4
