Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN360610000000003,LAUCN360610000000004,LAUCN360610000000005,LAUCN360610000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"New York County, NY",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,New York,,,,
Years:,2000 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2012,Jul,899055,823352,75703,8.4
2012,Aug,893830,821473,72357,8.1
2012,Sep,895372,827883,67489,7.5
2012,Oct,901907,831865,70042,7.8
2012,Nov,893435,828742,64693,7.2
2012,Dec,897552,828967,68585,7.6
2013,Jan,900993,823840,77153,8.6
2013,Feb,901841,829240,72601,8.1
2013,Mar,898698,832236,66462,7.4
2013,Apr,897815,835293,62522,7.0
2013,May,902339,835901,66438,7.4
2013,Jun,906808,835914,70894,7.8
2013,Jul,913779,842271,71508,7.8
2013,Aug,908174,838455,69719,7.7
2013,Sep,908130,840787,67343,7.4
2013,Oct,908960,840070,68890,7.6
2013,Nov,907155,844344,62811,6.9
2013,Dec,903638,844564,59074,6.5
2014,Jan,897730,834602,63128,7.0
2014,Feb,906075,842061,64014,7.1
2014,Mar,907109,845853,61256,6.8
2014,Apr,897691,845180,52511,5.8
2014,May,901826,846093,55733,6.2
2014,Jun,903568,847966,55602,6.2
2014,Jul,911343,852812,58531,6.4
2014,Aug,906908,850644,56264,6.2
2014,Sep,903749,853097,50652,5.6
2014,Oct,910674,859913,50761,5.6
2014,Nov,908265,858284,49981,5.5
2014,Dec,905002,858370,46632,5.2
2015,Jan,908960,855851,53109,5.8
2015,Feb,912536,861791,50745,5.6
2015,Mar,909877,863693,46184,5.1
2015,Apr,907868,863912,43956,4.8
2015,May,909856,864425,45431,5.0
2015,Jun,907122,863638,43484,4.8
2015,Jul,912361,867597,44764,4.9
2015,Aug,907165,864821,42344,4.7
2015,Sep,902960,863717,39243,4.3
2015,Oct,909579,868728,40851,4.5
2015,Nov,908412,867719,40693,4.5
2015,Dec,909495,869480,40015,4.4
2016,Jan,913575,869137,44438,4.9
2016,Feb,920738,876503,44235,4.8
2016,Mar,921034,877924,43110,4.7
2016,Apr,912523,873763,38760,4.2
2016,May,907336,870378,36958,4.1
2016,Jun,910958,869766,41192,4.5
2016,Jul,919169,874394,44775,4.9
2016,Aug,915834,870810,45024,4.9
2016,Sep,916560,872433,44127,4.8
2016,Oct,917091,873679,43412,4.7
2016,Nov,910712,872450,38262,4.2
2016,Dec,908099,871599,36500,4.0
2017,Jan,915115,873441,41674,4.6
2017,Feb,923213,881947,41266,4.5
2017,Mar,921968,885172,36796,4.0
2017,Apr,916755,882112,34643,3.8
2017,May,914775,878169,36606,4.0
2017,Jun,915419,878055,37364,4.1
2017,Jul,923105,882217,40888,4.4
2017,Aug,917225,875488,41737,4.6
2017,Sep,918898,880801,38097,4.1
2017,Oct,915743,879328,36415,4.0
2017,Nov,909900,876136,33764,3.7
2017,Dec,907377,874362,33015,3.6
2018,Jan,912400,874564,37836,4.1
2018,Feb,923830,885309,38521,4.2
2018,Mar,921570,885650,35920,3.9
2018,Apr,913817,881736,32081,3.5
2018,May,910075,879730,30345,3.3
2018,Jun,913526,878748,34778,3.8
2018,Jul,917505,882422,35083,3.8
2018,Aug,907703,873196,34507,3.8
2018,Sep,909382,877534,31848,3.5
2018,Oct,915456,882192,33264,3.6
2018,Nov,911244,879913,31331,3.4
2018,Dec,913440,879891,33549,3.7
2019,Jan,916143,875681,40462,4.4
2019,Feb,922198,884869,37329,4.0
2019,Mar,919632,884928,34704,3.8
2019,Apr,911126,880891,30235,3.3
2019,May,908821,877586,31235,3.4
2019,Jun,908891,876886,32005,3.5
2019,Jul,913299,879242,34057,3.7
2019,Aug,908438,875416,33022,3.6
2019,Sep,908764,880362,28402,3.1
2019,Oct,912586,882508,30078,3.3
2019,Nov,906015,878954,27061,3.0
2019,Dec,903737,878653,25084,2.8
2020,Jan,902956,874458,28498,3.2
2020,Feb,915144,887541,27603,3.0
2020,Mar,894046,859879,34167,3.8
