Month,All items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
Apr-03,2.20%,1.20%,0.50%,2.20%,13.00%,15.80%,2.80%,27.30%,1.50%,-1.80%,-3.80%,-1.20%,2.70%,2.90%,2.20%,4.40%,2.60%
May-03,2.10%,1.70%,1.30%,2.20%,9.00%,8.10%,3.70%,24.80%,1.60%,-1.90%,-3.60%,-1.20%,2.50%,3.00%,2.60%,4.50%,1.90%
Jun-03,2.10%,2.20%,2.20%,2.10%,9.30%,8.40%,3.20%,28.30%,1.50%,-1.80%,-2.60%,-1.40%,2.20%,2.90%,2.40%,4.60%,1.50%
Jul-03,2.10%,2.10%,2.10%,2.10%,9.00%,8.10%,3.10%,27.50%,1.50%,-1.80%,-2.10%,-1.40%,2.40%,2.90%,2.40%,4.30%,1.20%
Aug-03,2.20%,2.50%,2.70%,2.10%,11.80%,14.50%,3.30%,25.90%,1.30%,-2.20%,-2.70%,-0.90%,2.50%,2.70%,2.20%,4.20%,1.10%
Sep-03,2.30%,2.40%,2.80%,2.00%,14.70%,21.00%,3.80%,24.80%,1.20%,-2.40%,-2.10%,-1.70%,2.70%,2.70%,2.20%,4.40%,1.30%
Oct-03,2.00%,2.90%,3.70%,2.10%,8.80%,9.80%,3.20%,20.40%,1.30%,-2.40%,-1.60%,-2.20%,2.50%,2.90%,2.40%,4.00%,1.40%
Nov-03,1.80%,3.20%,3.90%,2.20%,6.20%,5.50%,2.70%,16.40%,1.10%,-2.60%,-1.90%,-2.10%,1.90%,2.60%,2.20%,4.10%,1.40%
Dec-03,1.90%,3.60%,4.50%,2.30%,6.90%,6.80%,2.60%,17.40%,1.10%,-2.50%,-2.10%,-1.80%,2.10%,2.60%,2.20%,4.20%,1.60%
Jan-04,1.90%,3.50%,4.10%,2.80%,7.80%,8.30%,3.10%,17.00%,1.10%,-2.30%,-1.90%,-1.20%,2.00%,2.50%,2.00%,4.30%,1.30%
Feb-04,1.70%,3.30%,3.60%,2.70%,3.80%,2.00%,3.20%,13.10%,1.20%,-2.00%,-1.70%,-0.60%,2.40%,2.50%,2.10%,4.70%,1.40%
Mar-04,1.70%,3.20%,3.70%,2.70%,0.40%,1.60%,1.60%,-3.20%,1.60%,-1.60%,-0.10%,-1.00%,2.30%,2.90%,2.70%,5.20%,1.60%
Apr-04,2.30%,3.40%,3.80%,2.80%,5.60%,11.00%,0.90%,0.70%,1.80%,-1.40%,0.30%,-0.80%,2.60%,3.10%,3.00%,5.30%,1.70%
May-04,3.10%,4.10%,4.90%,2.90%,15.00%,30.00%,0.60%,3.90%,1.70%,-1.10%,0.70%,-0.50%,2.80%,2.90%,2.80%,5.10%,1.80%
Jun-04,3.30%,3.70%,4.40%,2.80%,17.00%,33.40%,1.90%,5.50%,1.90%,-1.00%,0.50%,-0.10%,2.90%,3.00%,2.90%,5.20%,2.10%
Jul-04,3.00%,4.00%,4.60%,3.00%,14.30%,26.50%,2.00%,7.10%,1.80%,-1.20%,-0.30%,-0.60%,2.40%,3.00%,2.90%,5.20%,1.80%
Aug-04,2.70%,3.50%,3.90%,3.20%,10.50%,16.50%,2.20%,9.40%,1.70%,-1.10%,-0.60%,-1.40%,2.20%,2.90%,2.80%,5.20%,1.50%
Sep-04,2.50%,3.30%,3.30%,3.30%,6.70%,9.60%,1.60%,6.20%,2.00%,-0.60%,-0.70%,-1.10%,2.30%,3.00%,3.00%,5.00%,1.80%
