Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU03000001,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Level - Men,,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,,
Sex:,Men,,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2006,4209,4400,4136,3740,3672,3799,3819,3581,3267,3253,3479,3684,3753
2007,4406,4421,4047,3651,3587,3900,3841,3569,3640,3598,3722,4201,3882
2008,4796,4661,4651,4119,4459,4818,5122,4872,5153,5344,5725,6678,5033
2009,7962,8517,8644,8107,8399,8647,8515,8363,8335,8462,8505,8985,8453
2010,10021,9923,9696,8699,8252,8521,8323,8093,7886,7705,8111,8278,8626
2011,8796,8564,8304,7593,7515,7910,7664,7422,7189,7151,6923,7181,7684
2012,7526,7573,7323,6555,6697,7030,6863,6580,6221,6217,6167,6503,6771
2013,7426,7020,6611,6172,6316,6560,6396,6148,6009,5858,5671,5583,6314
2014,6153,6267,5868,5018,5104,5310,5220,4991,4596,4379,4627,4748,5190
2015,5374,5216,4954,4362,4546,4560,4394,4098,3984,3993,4115,4280,4490
2016,4569,4637,4499,4021,3851,4275,4308,4052,4043,4025,3865,4095,4187
2017,4514,4463,4172,3509,3436,3740,3728,3659,3397,3362,3408,3531,3743
2018,4079,3977,3773,3355,3206,3573,3274,3150,3002,3029,2941,3417,3398
2019,4031,3745,3681,3064,2971,3226,3227,3078,2867,2906,2890,3033,3227
2020,3629,3549,4120,11010,,,,,,,,,
