Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU03000093,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Level - 45-54 yrs.,,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,,
Age:,45 to 54 years,,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1948,292,367,314,316,247,249,263,284,312,228,260,349,290
1949,422,478,435,456,453,421,495,499,445,514,489,544,471
1950,720,733,627,569,450,439,443,379,348,328,348,350,478
1951,390,358,325,318,312,310,294,316,332,266,284,302,318
1952,352,340,338,268,266,302,258,276,234,206,230,221,274
1953,352,322,270,264,270,232,212,182,280,243,313,413,280
1954,589,607,623,654,587,562,511,515,493,446,503,491,548
1955,580,533,487,540,401,393,373,394,310,368,419,438,436
1956,460,588,555,449,431,326,392,368,356,325,438,452,429
1957,556,513,457,397,384,382,377,383,409,417,544,557,448
1958,711,816,828,862,788,764,757,773,643,613,592,626,731
1959,768,773,706,621,534,512,542,530,506,564,611,573,603
1960,690,628,689,575,547,513,552,570,527,616,657,803,614
1961,918,980,904,806,794,720,751,632,616,588,628,667,751
1962,731,780,725,652,589,540,524,527,537,432,561,655,605
1963,821,736,706,640,595,505,534,548,504,459,506,512,589
1964,722,673,653,599,493,503,504,503,442,456,472,492,543
1965,579,603,542,417,405,389,411,425,366,353,375,373,436
1966,445,464,405,344,343,342,345,344,330,322,346,399,369
1967,452,480,452,378,358,402,344,335,343,357,363,330,383
1968,401,392,338,354,266,261,299,296,314,275,288,290,314
1969,402,357,340,317,295,271,298,306,312,317,297,326,320
1970,421,449,509,445,426,409,512,490,495,484,534,536,476
1971,638,661,663,613,521,487,557,572,575,517,509,563,573
1972,634,626,613,533,496,471,485,484,445,457,439,425,510
1973,527,589,533,511,356,370,362,377,347,359,390,431,430
1974,525,569,536,472,400,400,411,404,499,484,605,672,498
1975,991,975,1005,924,905,874,848,847,844,852,809,844,893
1976,903,880,841,757,651,667,737,692,702,683,751,826,758
1977,879,857,830,695,614,643,547,627,564,562,586,595,666
1978,663,655,594,511,534,516,535,527,519,525,494,556,552
1979,597,635,602,578,470,496,496,520,494,538,521,529,540
1980,646,658,641,638,625,658,715,737,656,694,741,697,676
1981,793,784,732,597,643,667,694,718,627,720,765,841,715
1982,946,949,985,881,919,818,951,929,977,1040,1097,1094,966
1983,1226,1217,1166,1123,1113,1003,976,1006,908,911,868,954,1039
1984,976,911,868,796,824,697,825,779,781,789,820,866,828
1985,966,912,930,879,727,741,800,752,772,751,732,797,813
1986,926,851,867,774,782,803,783,757,741,726,748,724,790
1987,840,884,822,719,673,672,697,690,629,710,709,636,723
1988,767,782,644,627,593,570,641,624,653,605,693,680,657
1989,817,701,687,638,543,549,586,603,551,620,675,667,637
1990,819,736,688,671,643,636,633,686,683,710,857,912,723
1991,984,1042,1010,878,880,870,900,937,944,926,955,1020,946
1992,1228,1275,1236,1131,1134,1108,1147,1157,1106,1014,1031,1088,1138
1993,1263,1223,1264,1198,1077,1106,1148,1139,1077,1018,943,996,1121
1994,1111,1160,1029,958,935,1001,1006,983,892,883,887,808,971
1995,911,932,948,871,750,803,852,843,770,766,844,842,844
1996,1050,968,940,957,886,878,810,820,790,796,829,878,883
1997,1020,948,907,829,760,828,824,782,807,728,728,801,830
1998,933,954,880,794,651,739,802,753,710,685,731,750,782
1999,899,901,783,759,651,660,768,742,698,671,725,780,753
2000,945,826,726,649,660,749,779,827,762,728,718,772,762
2001,980,1014,961,923,818,872,970,1039,958,1084,1104,1141,989
2002,1434,1433,1345,1321,1259,1395,1393,1279,1177,1179,1253,1317,1315
2003,1483,1494,1562,1409,1239,1274,1349,1366,1306,1247,1271,1277,1356
2004,1524,1464,1445,1341,1199,1289,1276,1209,1126,1107,1195,1285,1288
2005,1371,1363,1256,1124,1120,1125,1266,1093,1141,1139,1166,1181,1195
2006,1256,1273,1191,1111,1085,1067,1161,1124,986,888,952,1030,1094
2007,1199,1280,1174,1108,1023,1012,1152,1097,1048,1102,1140,1282,1135
2008,1350,1381,1340,1308,1262,1310,1398,1516,1459,1512,1762,2082,1473
2009,2431,2627,2621,2383,2353,2532,2675,2694,2660,2568,2661,2900,2592
2010,3102,3047,3042,2769,2566,2568,2640,2867,2558,2535,2805,2735,2769
2011,2811,2748,2688,2475,2401,2487,2541,2489,2402,2293,2267,2313,2493
2012,2437,2480,2315,2108,2096,2138,2312,2244,2022,1971,2012,2032,2181
2013,2255,2082,2036,1959,1950,1913,1991,1897,1818,1898,1812,1724,1945
2014,1874,1868,1755,1514,1453,1368,1458,1472,1334,1287,1344,1353,1507
2015,1542,1435,1322,1263,1243,1117,1316,1334,1075,1152,1078,1233,1259
2016,1327,1303,1292,1163,1081,1118,1224,1265,1154,1088,1124,1125,1189
2017,1217,1165,1138,1096,1019,1143,1112,1248,980,842,853,912,1060
2018,1106,1057,1030,888,837,979,1014,908,832,836,804,964,938
2019,1078,1026,1023,790,773,866,938,969,855,768,760,831,890
2020,891,908,1117,3828,,,,,,,,,
