Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU03000089,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Level - 25-34 yrs.,,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,,
Age:,25 to 34 years,,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1948,497,566,489,492,401,392,431,495,442,379,480,423,457
1949,645,700,712,716,750,810,910,829,747,908,793,800,776
1950,1031,1016,986,793,729,679,718,553,490,393,538,504,702
1951,554,564,539,385,370,358,386,400,436,378,436,412,435
1952,494,514,388,402,362,332,407,398,396,310,360,308,389
1953,496,424,336,360,346,300,302,296,323,345,472,557,379
1954,769,917,981,863,848,762,786,824,791,711,674,593,793
1955,727,785,785,753,505,467,466,480,509,448,480,509,577
1956,664,624,665,513,540,573,597,498,510,427,505,524,554
1957,639,626,556,545,544,543,568,514,530,498,606,712,573
1958,1015,1160,1190,1127,1089,1067,1054,964,855,765,788,845,993
1959,1020,1033,903,671,662,600,608,599,638,619,667,689,726
1960,810,776,806,717,602,680,762,754,713,705,802,902,752
1961,1098,1195,1047,890,903,857,874,821,736,742,774,736,890
1962,925,856,835,713,645,627,641,706,646,595,637,718,712
1963,924,1002,850,702,677,626,636,688,644,588,724,714,732
1964,836,795,719,594,512,569,521,561,527,495,534,612,607
1965,725,782,641,545,436,447,497,485,492,414,423,458,529
1966,599,532,530,425,389,409,440,449,403,372,358,392,441
1967,549,554,488,438,411,447,468,469,504,492,467,470,480
1968,518,577,488,401,399,406,462,458,413,418,380,394,443
1969,494,490,455,419,371,433,431,480,502,457,460,435,453
1970,643,689,644,642,603,676,742,782,731,743,829,882,718
1971,1086,1073,1033,871,813,795,893,933,948,890,949,912,933
1972,1084,1051,904,853,817,828,846,866,896,816,782,793,878
1973,1019,980,933,807,816,827,819,899,840,769,828,844,866
1974,1083,1075,1009,957,814,856,965,998,1044,1103,1254,1367,1044
1975,1928,1927,1934,1766,1722,1794,1816,1736,1754,1630,1663,1643,1776
1976,1942,1941,1718,1521,1475,1605,1758,1764,1738,1648,1703,1702,1710
1977,1955,1991,1811,1649,1450,1551,1647,1646,1544,1573,1520,1465,1650
1978,1665,1580,1532,1371,1293,1262,1432,1479,1373,1320,1350,1404,1422
1979,1639,1659,1527,1359,1235,1326,1413,1535,1348,1411,1478,1423,1446
1980,1798,1853,1875,1990,1970,2078,2227,2224,2096,2126,2021,2026,2024
1981,2393,2311,2171,2006,2095,2062,2131,2155,2091,2261,2358,2502,2211
1982,2826,2880,2896,2856,2801,3034,3155,3059,3139,3197,3227,3378,3037
1983,3691,3679,3585,3188,3053,3121,2945,2934,2817,2680,2629,2609,3078
1984,2867,2828,2661,2427,2216,2191,2362,2268,2095,2164,2180,2228,2374
1985,2618,2582,2401,2379,2202,2285,2294,2322,2325,2244,2244,2201,2341
1986,2412,2676,2532,2364,2311,2353,2419,2363,2320,2320,2358,2257,2390
1987,2675,2537,2348,2115,2056,2033,2043,2060,1898,1868,1922,1989,2129
1988,2217,2163,2074,1795,1798,1905,1853,1992,1871,1822,1898,1758,1929
1989,1997,2005,1901,1821,1850,1805,1871,1789,1839,1759,1746,1807,1851
1990,2120,2197,2022,1865,1856,1772,1987,2014,1962,1898,2038,2205,1995
1991,2543,2699,2632,2379,2330,2341,2345,2422,2371,2344,2403,2549,2447
1992,3011,2983,2884,2686,2585,2698,2645,2694,2585,2535,2576,2540,2702
1993,2862,2780,2660,2382,2223,2410,2407,2288,2267,2155,2101,2210,2395
1994,2560,2606,2420,2209,1889,1924,1983,1943,1846,1863,1796,1774,2067
1995,2247,1989,1897,1920,1757,1806,1809,1758,1806,1639,1739,1730,1841
1996,2111,2037,1940,1757,1704,1657,1809,1634,1622,1579,1619,1611,1757
1997,1864,1903,1781,1560,1479,1548,1589,1563,1502,1382,1344,1338,1571
1998,1585,1591,1671,1284,1287,1388,1441,1369,1422,1442,1285,1267,1419
1999,1513,1525,1396,1252,1164,1252,1343,1253,1228,1170,1144,1096,1278
2000,1350,1313,1301,1124,1176,1156,1278,1254,1150,1106,1120,1152,1207
2001,1515,1415,1401,1342,1296,1433,1390,1537,1470,1565,1747,1862,1498
2002,2139,2031,1992,1924,1789,1887,1838,1887,1733,1692,1833,1928,1890
2003,2232,2022,1988,1884,1836,2036,1965,2014,1911,1876,1877,1875,1960
2004,2116,1967,2010,1719,1678,1646,1815,1719,1566,1633,1742,1798,1784
2005,1860,1810,1834,1632,1533,1668,1670,1599,1657,1461,1606,1597,1661
2006,1664,1824,1677,1544,1464,1483,1573,1396,1431,1431,1397,1373,1521
2007,1785,1747,1547,1407,1402,1492,1548,1481,1546,1476,1502,1597,1544
2008,1857,1764,1915,1644,1669,1786,1895,2019,1984,2117,2245,2498,1949
2009,3030,3274,3321,3179,3374,3283,3368,3372,3346,3373,3218,3267,3284
2010,3678,3604,3653,3371,3478,3382,3312,3193,3206,3132,3328,3291,3386
2011,3391,3384,3274,3154,3111,3202,3257,3123,3162,3141,2936,3111,3187
2012,3199,3052,3001,2630,2666,2725,2757,2700,2650,2711,2496,2584,2764
2013,2794,2768,2569,2387,2316,2565,2574,2579,2429,2354,2402,2310,2504
2014,2491,2582,2386,2121,2136,2200,2293,2363,2081,2088,1992,1952,2224
2015,2191,2006,2028,1883,1916,1923,1936,1822,1707,1801,1851,1791,1905
2016,1939,1896,1889,1717,1704,1832,1838,1881,1786,1788,1667,1633,1797
2017,1928,1834,1682,1466,1665,1558,1697,1794,1523,1573,1488,1556,1647
2018,1707,1686,1558,1499,1316,1417,1328,1575,1234,1337,1309,1431,1450
2019,1615,1616,1533,1335,1188,1304,1398,1418,1228,1371,1278,1320,1384
2020,1577,1520,1650,5096,,,,,,,,,
