Indicators,1Q 2020,4Q 2019,3Q 2019,2Q 2019,1Q 2019,4Q 2018,3Q 2018,2Q 2018,1Q 2018,4Q 2017,3Q 2017,2Q 2017,1Q 2017,4Q 2016,3Q 2016,2Q 2016,1Q 2016,4Q 2015
Gross Domestic Product?Growth Rate (preceding,-9.8,1.5,1.3,1.5,1.6,1.5,1.5,1.7,1.7,1.5,1.6,1.8,1.7,1.6,1.7,1.8,1.5,1.6
quarter=100)(%),,,,,,,,,,,,,,,,,,
