Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,13.937500,14.000000,13.875000,13.968750,4.889907,449200
1982-01-04,13.750000,13.968750,13.500000,13.687500,4.791456,630400
1982-01-05,13.250000,13.468750,13.000000,13.000000,4.550785,1076800
1982-01-06,12.875000,12.968750,12.750000,12.875000,4.507029,1560400
1982-01-07,12.718750,12.937500,12.500000,12.625000,4.419515,1303600
1982-01-08,12.812500,12.906250,12.687500,12.781250,4.474212,991200
1982-01-11,12.593750,12.937500,12.250000,12.312500,4.310123,1479600
1982-01-12,12.500000,12.687500,12.281250,12.656250,4.430456,1089600
1982-01-13,12.656250,13.062500,12.218750,12.375000,4.331998,1231200
1982-01-14,12.531250,12.656250,12.375000,12.656250,4.430456,1068400
1982-01-15,12.687500,12.750000,12.593750,12.687500,4.441391,724400
1982-01-18,12.593750,12.781250,12.406250,12.781250,4.474212,897600
1982-01-19,12.593750,12.781250,12.406250,12.406250,4.342937,722000
1982-01-20,12.218750,12.437500,11.968750,12.187500,4.266365,1852800
1982-01-21,12.125000,12.312500,11.937500,12.062500,4.222606,1187200
1982-01-22,12.000000,12.156250,11.812500,11.812500,4.135090,868000
1982-01-25,12.093750,12.468750,11.687500,12.468750,4.364820,1900800
1982-01-26,12.375000,12.531250,12.187500,12.187500,4.266365,1143200
1982-01-27,12.468750,12.687500,12.250000,12.531250,4.386697,1310800
1982-01-28,12.875000,13.093750,12.625000,13.062500,4.572666,1169200
1982-01-29,13.437500,13.593750,13.281250,13.500000,4.725819,2861600
1982-02-01,12.937500,13.218750,12.656250,12.718750,4.452334,1345200
1982-02-02,12.781250,12.906250,12.625000,12.750000,4.463273,1434400
1982-02-03,12.500000,12.875000,12.125000,12.218750,4.277303,1294800
1982-02-04,12.312500,12.500000,12.125000,12.500000,4.375757,1818000
1982-02-05,12.656250,12.875000,12.406250,12.625000,4.419515,1472000
1982-02-08,12.218750,12.437500,12.000000,12.031250,4.211669,1396400
1982-02-09,12.093750,12.312500,11.875000,12.156250,4.255424,1279200
1982-02-10,12.375000,12.562500,12.156250,12.250000,4.288243,1146000
1982-02-11,12.093750,12.312500,11.875000,11.937500,4.178849,1359200
1982-02-12,12.031250,12.125000,11.906250,12.000000,4.200728,1182800
1982-02-16,12.093750,12.437500,11.750000,12.437500,4.353875,1678400
1982-02-17,12.343750,12.437500,12.218750,12.250000,4.288243,1125200
1982-02-18,12.312500,12.437500,12.187500,12.343750,4.321060,765200
1982-02-19,12.281250,12.406250,12.125000,12.218750,4.277303,774800
1982-02-22,12.031250,12.406250,11.656250,11.687500,4.091334,1422000
1982-02-23,11.687500,11.906250,11.437500,11.750000,4.113212,1600800
1982-02-24,12.062500,12.343750,11.781250,12.281250,4.299181,1030000
1982-02-25,12.093750,12.281250,11.875000,12.093750,4.233541,789200
1982-02-26,12.031250,12.125000,11.906250,11.968750,4.189789,640000
1982-03-01,11.812500,12.031250,11.562500,11.750000,4.113212,977600
1982-03-02,11.437500,11.843750,11.031250,11.062500,3.872544,1373200
