Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU04000182,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - 45-54 yrs., Men",,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,,
Age:,45 to 54 years,,,,,,,,,,,,
Sex:,Men,,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1948,2.8,3.4,2.9,2.9,2.2,1.9,2.0,2.3,2.7,1.8,2.4,3.1,2.5
1949,3.9,4.7,4.3,4.4,4.3,4.0,4.3,4.4,3.8,4.7,4.1,5.0,4.3
1950,6.3,6.7,5.6,5.3,3.9,3.3,3.6,3.2,2.8,2.5,2.4,2.7,4.0
1951,2.9,2.8,2.5,2.6,2.1,2.1,2.1,2.4,2.5,1.8,2.0,2.3,2.4
1952,3.0,2.9,3.1,2.1,2.1,2.5,2.1,2.0,1.5,1.5,1.6,1.7,2.2
1953,3.0,2.9,2.2,2.2,2.3,2.0,1.7,1.4,2.1,2.0,2.3,3.2,2.3
1954,4.8,5.1,4.9,5.2,4.4,4.1,3.8,3.9,3.8,3.5,3.7,4.0,4.3
1955,4.4,4.5,4.1,4.4,3.1,2.6,2.6,2.6,1.8,2.3,3.0,3.3,3.2
1956,3.9,4.9,4.3,3.1,2.8,2.0,2.2,2.2,2.2,2.2,2.9,3.5,3.0
1957,4.2,3.9,3.3,3.2,2.8,2.9,2.7,2.5,2.8,3.0,3.9,4.4,3.3
1958,5.3,6.3,6.6,6.3,5.5,5.3,5.2,5.6,4.4,4.0,4.2,4.7,5.3
1959,5.8,5.9,5.0,4.0,3.2,3.1,3.4,3.7,3.5,3.6,4.3,4.1,4.1
1960,5.0,4.6,4.8,3.7,3.7,3.1,3.4,3.6,3.6,4.0,4.1,5.6,4.1
1961,6.7,7.1,6.2,5.4,5.0,4.2,4.4,3.8,3.8,3.5,3.9,4.5,4.9
1962,4.8,5.3,5.0,4.4,3.7,3.4,3.4,3.4,3.1,2.5,3.5,4.6,3.9
1963,5.7,5.2,4.8,4.1,3.5,2.8,3.1,3.1,2.8,2.6,2.9,3.2,3.6
1964,4.7,4.2,4.2,3.6,2.8,2.9,3.1,2.8,2.3,2.3,2.5,3.1,3.2
1965,3.8,4.0,3.4,2.6,2.3,1.9,2.1,2.4,1.8,1.9,1.9,2.3,2.5
1966,2.5,2.7,2.3,1.9,1.6,1.8,1.8,1.6,1.8,1.4,1.6,2.3,1.9
1967,2.4,2.7,2.7,2.1,1.8,1.8,1.7,1.7,1.6,1.5,1.6,1.7,2.0
1968,2.1,2.4,2.0,1.6,1.2,1.4,1.5,1.3,1.4,1.3,1.5,1.6,1.6
1969,2.1,1.9,1.9,1.5,1.3,1.1,1.5,1.3,1.2,1.3,1.4,1.6,1.5
1970,2.1,2.4,2.5,2.3,2.1,2.1,2.7,2.2,2.3,2.3,2.5,2.8,2.4
1971,3.7,3.8,3.7,3.3,2.7,2.5,2.7,2.7,2.6,2.5,2.5,3.2,3.0
1972,3.3,3.4,3.2,2.7,2.6,2.6,2.6,2.3,2.1,2.2,2.1,2.2,2.6
1973,2.9,3.2,3.0,2.7,1.9,1.7,1.6,1.6,1.3,1.4,1.8,1.9,2.1
1974,2.7,2.9,3.0,2.5,1.9,1.8,2.0,1.9,2.1,2.2,2.6,3.2,2.4
1975,5.4,5.2,5.4,5.0,4.8,4.6,4.6,4.4,4.5,4.8,4.2,4.6,4.8
1976,5.0,4.6,4.8,4.3,3.4,3.6,3.7,3.2,3.3,3.4,3.9,4.8,4.0
1977,4.9,4.9,4.2,3.7,3.0,2.9,2.4,2.5,2.0,2.5,2.3,3.0,3.2
1978,3.5,3.5,3.3,2.5,2.7,2.3,2.4,2.3,2.6,2.5,2.4,2.9,2.7
1979,3.3,3.3,3.2,3.0,2.3,2.5,2.5,2.4,2.3,2.8,2.5,2.6,2.7
1980,3.3,3.5,3.6,3.5,3.4,3.4,3.9,3.7,3.4,3.4,4.1,4.1,3.6
1981,4.7,4.3,4.2,3.3,3.5,3.6,3.8,3.9,3.4,3.8,4.0,4.9,4.0
1982,5.7,5.5,5.7,5.1,5.3,4.8,5.4,5.2,5.7,6.0,6.3,6.7,5.6
1983,7.5,8.0,7.5,7.1,6.7,5.7,5.6,5.5,5.3,5.3,5.4,5.9,6.3
1984,5.8,5.5,5.5,4.8,4.7,3.6,3.9,3.6,4.1,4.1,4.5,5.2,4.6
1985,5.8,5.3,5.4,5.3,3.9,4.2,4.3,4.1,4.2,4.4,4.4,4.5,4.6
1986,5.2,4.9,5.2,4.7,4.4,4.3,4.2,3.6,3.8,3.8,4.3,4.3,4.4
1987,5.0,5.4,5.2,4.7,4.0,4.0,3.8,3.4,3.6,3.6,3.8,3.6,4.2
1988,4.4,4.4,3.8,3.2,3.0,3.0,3.0,2.8,3.1,3.1,3.7,4.0,3.5
1989,4.6,3.9,3.5,3.4,2.6,2.5,2.7,2.7,2.6,3.1,3.4,3.5,3.2
