Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU04000164,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - 25-34 yrs., Men",,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,,
Age:,25 to 34 years,,,,,,,,,,,,
Sex:,Men,,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1992,9.2,9.2,8.7,8.2,7.7,7.7,7.4,7.4,7.1,7.1,7.2,7.3,7.8
1993,8.6,8.7,8.2,7.2,6.5,7.0,6.8,6.4,5.8,5.9,6.0,6.3,7.0
1994,7.9,8.0,7.1,6.4,5.6,5.3,5.6,5.1,4.7,5.0,4.8,5.3,5.9
1995,6.6,6.0,5.4,5.3,5.1,4.8,4.9,4.5,4.8,4.1,5.0,5.4,5.1
1996,6.5,6.3,6.2,5.3,4.7,4.7,4.8,3.9,4.0,4.0,4.2,4.3,4.9
1997,5.0,5.4,5.2,4.5,4.0,4.1,3.9,3.9,3.7,3.4,3.8,4.1,4.3
1998,4.6,4.8,4.9,3.6,3.3,3.6,4.0,3.5,3.7,3.8,3.6,3.8,3.9
1999,4.5,4.6,4.1,3.6,3.2,3.4,3.4,3.5,3.2,3.5,3.1,3.1,3.6
2000,4.0,4.3,4.0,3.2,3.2,3.0,3.3,2.9,3.1,3.2,3.0,3.4,3.4
2001,4.7,4.2,4.4,4.0,3.6,4.0,3.8,4.2,4.1,4.3,4.7,5.4,4.3
2002,6.9,6.4,6.7,6.0,5.2,6.0,5.4,5.2,4.9,5.2,5.8,6.1,5.8
2003,7.7,6.5,6.6,6.0,5.5,6.3,6.0,6.2,5.8,5.8,5.9,5.9,6.2
2004,7.0,6.9,6.7,5.5,5.5,4.7,5.0,4.8,4.5,4.6,5.1,5.8,5.5
2005,5.8,5.8,5.9,5.0,4.4,4.4,4.3,4.1,4.4,4.0,4.3,4.4,4.7
2006,5.0,6.1,5.1,4.7,4.4,4.4,4.6,3.8,3.5,4.2,4.2,4.2,4.5
2007,5.9,6.0,5.0,4.3,4.1,4.4,4.1,4.2,4.2,4.4,4.6,5.1,4.7
2008,6.0,5.9,6.2,5.0,5.2,5.2,5.9,5.8,6.1,6.4,7.1,8.5,6.1
2009,10.7,11.7,11.8,11.2,11.4,10.8,10.5,10.5,10.8,10.3,10.4,10.9,10.9
2010,12.7,12.7,12.9,10.9,11.2,10.9,10.0,9.4,9.9,9.2,10.1,10.5,10.9
2011,11.2,11.0,10.6,10.0,9.7,9.7,9.6,8.8,9.0,9.1,8.4,9.4,9.7
2012,10.2,9.8,9.7,8.0,7.8,7.6,7.4,7.5,7.4,7.5,7.2,7.9,8.2
2013,8.8,8.7,8.0,7.5,7.0,7.2,7.4,7.8,7.2,6.8,7.0,7.2,7.6
2014,7.9,7.9,7.0,6.5,6.5,6.3,6.2,6.2,5.4,5.6,5.7,5.7,6.4
2015,6.7,6.4,6.1,5.2,5.4,5.0,5.2,4.9,4.8,5.1,5.3,5.6,5.5
2016,5.8,5.8,5.4,5.2,4.9,4.9,4.8,4.7,4.8,4.8,4.7,4.8,5.0
2017,5.7,5.7,5.2,4.2,4.5,4.2,4.3,4.7,3.9,4.1,3.9,4.4,4.6
2018,4.7,4.7,4.5,4.4,3.6,3.5,3.3,3.9,3.2,3.6,3.1,3.8,3.9
2019,4.6,4.5,4.1,3.5,3.2,3.4,3.5,3.6,3.4,3.5,3.4,3.7,3.7
2020,4.7,4.6,4.8,14.1,,,,,,,,,
