Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU04000173,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - 35-44 yrs., Men",,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,,
Age:,35 to 44 years,,,,,,,,,,,,
Sex:,Men,,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1948,2.8,3.3,3.2,2.8,2.3,1.9,2.4,2.1,2.2,1.8,1.9,2.4,2.4
1949,3.7,4.5,4.2,3.8,4.0,3.5,4.7,4.5,4.4,4.7,4.4,4.7,4.3
1950,4.9,5.4,5.4,4.6,3.8,2.8,3.3,2.8,2.6,2.2,2.2,2.7,3.6
1951,3.3,2.7,2.3,1.7,1.6,1.6,1.9,1.9,1.5,1.4,2.0,1.7,2.0
1952,2.5,3.0,2.4,2.1,1.7,1.5,2.2,2.1,1.3,1.3,1.5,1.6,1.9
1953,2.7,2.0,2.1,2.3,1.8,1.4,2.0,1.6,1.3,1.8,2.0,2.8,2.0
1954,4.2,4.8,4.7,4.7,4.3,3.8,4.2,3.6,4.3,3.4,3.2,4.0,4.1
1955,4.9,5.0,4.3,4.0,3.3,2.5,2.4,2.1,2.1,1.8,2.2,2.5,3.1
1956,3.4,3.1,3.3,2.8,2.6,2.4,2.6,2.3,2.0,1.8,2.3,2.8,2.6
1957,3.6,3.5,3.2,3.0,2.2,2.1,2.2,2.2,2.4,2.6,3.1,3.9,2.8
1958,5.4,6.5,6.3,5.7,5.4,4.9,5.3,5.0,4.2,3.9,3.9,4.7,5.1
1959,5.2,5.8,4.7,3.4,3.0,3.1,3.0,3.3,3.2,2.8,4.1,3.4,3.7
1960,4.7,4.0,4.4,3.6,3.3,3.3,3.3,3.3,3.2,3.4,4.0,5.0,3.8
1961,6.2,6.5,6.1,5.1,4.6,4.2,4.0,4.2,3.7,3.3,3.4,4.0,4.6
1962,4.9,5.1,4.7,4.2,3.0,3.6,3.3,3.1,2.8,2.7,3.0,3.3,3.6
1963,4.5,5.3,4.6,3.5,2.8,3.0,3.1,2.8,2.2,2.5,3.2,3.8,3.5
1964,3.9,4.3,4.0,3.2,2.4,2.3,2.3,2.3,2.3,2.4,2.5,3.0,2.9
1965,3.8,3.9,3.4,3.0,2.7,2.3,2.1,1.8,1.8,1.7,1.9,2.2,2.5
1966,2.9,2.8,2.3,1.8,1.5,1.7,1.7,1.8,1.4,1.8,2.2,2.0,2.0
1967,2.2,2.3,2.0,2.0,1.4,1.5,1.5,1.5,1.4,1.5,1.4,1.7,1.7
1968,2.5,2.4,2.2,1.8,1.3,1.3,1.4,1.4,1.2,1.2,1.3,1.1,1.6
1969,1.8,1.8,1.6,1.5,1.4,1.5,1.4,1.2,1.4,1.3,1.2,1.6,1.5
1970,2.3,2.7,2.6,2.3,2.1,2.2,2.3,2.4,2.1,2.3,2.5,3.3,2.4
1971,3.8,4.0,3.4,3.1,2.8,2.9,2.9,2.9,2.7,2.6,2.8,3.3,3.1
1972,3.9,3.6,3.6,2.9,2.6,2.4,2.6,2.6,2.1,2.2,2.3,2.0,2.7
1973,2.7,2.9,2.8,2.3,1.9,1.8,1.6,1.6,1.4,1.4,1.6,2.4,2.0
1974,2.8,2.9,2.4,2.4,2.0,2.1,2.2,2.1,2.3,2.5,2.9,3.9,2.6
1975,5.5,5.8,5.9,5.7,5.2,4.6,4.5,4.3,3.8,4.1,4.4,4.7,4.9
1976,5.3,5.3,4.5,4.2,3.5,3.8,4.1,3.8,3.6,3.6,3.8,4.1,4.1
1977,4.7,4.9,4.5,3.6,3.5,3.3,3.2,2.9,2.4,2.8,3.0,2.8,3.5
1978,3.4,3.3,3.5,3.0,2.9,2.6,2.5,2.6,2.2,2.3,2.4,2.9,2.8
1979,3.5,3.1,3.0,2.9,2.5,2.4,2.5,2.6,2.8,2.7,3.2,3.2,2.9
1980,3.9,4.0,3.9,4.0,4.3,4.1,4.5,4.5,3.9,3.7,3.8,4.3,4.1
1981,5.0,5.2,5.1,4.7,3.9,3.9,3.8,3.7,3.9,4.2,5.1,6.0,4.5
1982,6.8,6.4,6.8,6.4,6.3,6.3,6.3,6.5,6.7,7.1,8.1,8.7,6.9
1983,8.9,8.6,8.1,8.0,7.5,6.9,6.7,6.3,6.4,5.9,5.8,5.8,7.1
1984,6.2,6.0,5.7,5.9,5.1,5.0,5.0,5.0,4.9,4.6,4.4,4.5,5.2
1985,5.7,5.5,5.5,5.3,4.5,5.0,4.7,4.2,4.3,4.1,4.6,5.1,4.9
1986,5.6,6.3,5.7,5.0,4.8,4.9,4.8,4.7,4.5,4.7,5.0,4.9,5.1
1987,5.7,5.4,5.4,4.6,4.2,4.0,4.4,3.8,3.8,4.0,3.8,4.0,4.4
1988,4.6,4.7,4.6,4.1,3.9,3.3,3.5,3.6,3.2,3.3,3.5,3.9,3.8
1989,4.6,4.4,4.3,4.0,3.3,3.0,3.4,3.3,3.4,3.3,3.8,3.7,3.7
